,StatementOne,StatementTwo,StatementThree,StatementFour,PostStatementOne,PostStatementTwo,PostStatementThree,PostStatementFour,MetaphorOne,MetaphorTwo,MetaphorThree,MetaphorFour,AppUsage[SQ001],AppUsage[SQ002],AppUsage[SQ003],AppUsage[SQ004],AppUsage[SQ005],AppUsage[SQ006],AppUsage[SQ007],AppUsage[SQ008],ask1,Age
127,False,True,False,False,True,False,True,False,No,,,,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Not installed,1,32
128,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,28
129,False,True,False,True,False,True,False,True,,,No,,Daily,Daily,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,25
130,True,False,False,True,True,False,False,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,30
131,True,True,True,True,True,True,True,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,37
132,False,True,False,True,True,False,False,False,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,"Installed, but rarely used",4,31
133,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,5,31
134,False,True,False,True,False,True,False,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",4,31
135,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,4,37
136,True,False,True,True,False,True,False,True,No,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,1,43
137,False,True,False,True,True,False,True,True,,No,,,Monthly,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,2,35
138,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Weekly,5,28
139,True,False,True,True,True,False,True,True,No,,,,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Daily,Not installed,Daily,1,18
140,False,True,False,True,False,True,False,True,,,,,Weekly,Not installed,"Installed, but rarely used",Not installed,Daily,Monthly,Not installed,Not installed,5,33
141,True,True,True,True,True,True,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,40
142,True,True,False,False,True,True,True,False,,,No,,Daily,Weekly,Monthly,Weekly,Weekly,Daily,Monthly,Weekly,3,26
143,True,True,True,True,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Weekly,Weekly,Not installed,Not installed,5,44
144,True,False,True,False,True,False,True,True,No,,,,Weekly,Not installed,Monthly,Not installed,Daily,Daily,Not installed,Daily,1,18
145,True,False,True,True,True,True,True,True,,,No,,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Weekly,3,22
146,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,5,27
147,True,True,True,True,True,True,True,True,,No,,,Not installed,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,2,33
148,False,True,False,True,False,True,True,True,,Yes,,,Daily,Not installed,Not installed,Not installed,Weekly,Monthly,Not installed,Daily,2,26
149,False,True,False,True,True,True,False,True,,No,,,Not installed,Not installed,Monthly,Not installed,Weekly,Not installed,Not installed,Not installed,2,41
150,True,True,True,True,True,True,True,True,Yes,,,,Weekly,Not installed,Not installed,Weekly,"Installed, but rarely used",Daily,Not installed,Not installed,1,31
151,False,False,True,True,True,False,True,False,,,,,Daily,Not installed,Daily,Not installed,Not installed,Weekly,Not installed,Not installed,5,33
152,False,True,False,True,False,True,False,True,,,No,,Weekly,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,Weekly,3,63
153,False,True,True,True,True,False,False,False,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,29
154,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Weekly,Daily,Not installed,Not installed,3,26
155,True,False,True,True,True,False,False,False,,,,No,Weekly,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,Not installed,4,25
156,True,True,False,True,True,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,3,55
157,False,True,False,True,False,True,False,True,,No,,,Not installed,Weekly,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,2,60
158,False,True,False,True,False,True,False,True,No,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,1,50
159,True,True,True,False,True,True,False,False,,,,No,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,4,27
160,True,True,True,True,True,True,True,True,No,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,22
161,True,False,True,False,True,False,True,False,,No,,,Daily,Daily,Monthly,Not installed,Not installed,Daily,Not installed,Daily,2,34
162,True,False,True,True,True,False,True,True,No,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,41
163,True,False,True,True,True,False,True,False,,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,5,24
164,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,5,42
165,False,False,True,True,True,False,True,True,,,,,Not installed,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,5,51
166,False,True,False,True,False,True,False,True,No,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,24
167,False,True,False,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,26
168,True,True,False,True,False,False,False,True,,No,,,Not installed,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,2,45
169,True,True,False,True,True,True,False,True,,Yes,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,2,28
170,True,False,True,True,True,True,True,True,,,,No,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,46
171,True,True,True,True,True,True,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Daily,4,31
172,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,44
173,False,True,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,24
174,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,4,22
175,True,False,True,True,True,False,True,True,,,,Yes,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Daily,4,42
176,True,False,True,False,True,False,True,False,,,,,Weekly,Not installed,Weekly,Not installed,Not installed,Daily,Not installed,Daily,5,37
177,True,True,True,True,True,True,True,True,,,No,,Daily,Not installed,Weekly,Not installed,Not installed,Daily,Not installed,Not installed,3,43
178,True,True,True,True,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,5,47
179,True,True,True,True,True,True,True,True,,,No,,Daily,Not installed,Weekly,Weekly,Daily,Daily,Not installed,Not installed,3,27
180,True,False,True,True,True,False,True,True,,Yes,,,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,2,44
181,True,True,True,True,True,True,True,True,,,,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Not installed,5,30
182,True,True,True,True,True,True,True,True,,No,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,2,27
183,True,False,True,True,True,True,True,True,,,No,,Weekly,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,3,38
184,True,False,True,True,True,True,True,True,,,,No,Weekly,Not installed,Not installed,Not installed,Weekly,Weekly,Not installed,Not installed,4,48
185,False,True,True,True,True,True,False,True,,Yes,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,2,30
186,False,True,False,True,True,True,False,True,No,,,,Weekly,Not installed,Not installed,Not installed,"Installed, but rarely used",Daily,Not installed,Not installed,1,32
187,True,False,True,True,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,5,25
188,False,True,False,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,21
189,False,True,False,True,True,False,True,False,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,5,32
